회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
케이맥,043290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","FPD, 반도체 공정용 검사장비 및 바이오/의료진단기기, Lab용 분석기기",2011-10-25,12월,이재원,,대전광역시
로보스타,090360,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",2011-10-17,12월,김정호,http://robostar.co.kr,경기도
대한과학,131220,기계장비 및 관련 물품 도매업,"의료, 정밀 및 연구실험기기 제조 및 유통",2011-10-11,12월,서정구,http://www.daihansci.co.kr,강원도
피앤이솔루션,131390,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 공정용 장비, 산업용 정류기",2011-09-27,12월,"정대택, 김용을 (각자대표이사)",http://www.pnesolution.com,경기도
아이디스,143160,통신 및 방송 장비 제조업,"영상보안장치(DVR,NVR,IP-Camera 등)",2011-09-26,12월,김영달,http://www.idis.co.kr,대전광역시
화진,134780,자동차 부품 제조업,"우드그레인, IPE",2011-08-10,12월,조만호,http://hwajin-corp.com,경상북도
제이씨케미칼,137950,기타 화학제품 제조업,"바이오디젤, 글리세린 등",2011-08-08,12월,윤사호,http://www.jcchemical.co.kr,울산광역시
아이씨디,040910,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",2011-08-05,12월,이승호,http://www.i4cd.co.kr,경기도
제닉,123330,기타 화학제품 제조업,"하이드로겔 마스크 팩, 기타화장품",2011-08-03,12월,황진선,http://genic21.com,경기도
경봉,139050,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",2011-07-29,12월,윤석원,,경기도
상아프론테크,089980,플라스틱제품 제조업,"LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품",2011-07-21,12월,이상원,http://www.sftc.co.kr,인천광역시
나이벡,138610,의료용품 및 기타 의약관련제품 제조업,"치아미백제,치과용 골이식재",2011-07-13,12월,정종평,,충청북도
옵티시스,109080,통신 및 방송 장비 제조업,광링크 모듈 등,2011-07-12,12월,신현국,http://www.opticis.com,경기도
대양전기공업,108380,선박 및 보트 건조업,"해상용 조명등기구, (함정용)전자시스템, 배전반류 등",2011-07-08,12월,서영우,http://daeyang.co.kr,부산광역시
서연탑메탈,019770,특수 목적용 기계 제조업,자동차금형.건설중장비 부품,2011-06-24,12월,"최원재, 유경내(각자대표이사)",,인천광역시
넥스트아이,137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","LCD 편광필름 검사장비, BLU 검사장비 등",2011-06-14,12월,진광(Chen Guang),,경기도
리켐,131100,기초화학물질 제조업,"이차전지 전해액 소재, LCD 공정용 에천트 소재",2011-06-14,12월,이상준,,충청남도
완리,900180,"회사본부, 지주회사 및 경영컨설팅 서비스업",외벽타일,2011-06-13,12월,우뤠이비아오,http://www.wanli.co.kr,홍콩
엘아이에스,138690,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C",2011-06-02,12월,임태원,http://www.ltsolution.com,경기도
KMH,122450,텔레비전 방송업,방송채널사업 및 방송송출서비스,2011-05-25,12월,한찬수,http://www.ikmh.co.kr,서울특별시
골프존유원홀딩스,121440,소프트웨어 개발 및 공급업,골프시뮬레이터,2011-05-20,12월,김영찬,http://company.golfzon.com,서울특별시
윈스,136540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",2011-05-02,12월,김대연,http://www.wins21.co.kr,경기도
하림,136480,"도축, 육류 가공 및 저장 처리업","육계, 육계가공식품",2011-05-02,12월,"김홍국, 이문용, 이강수(각자대표)",,전라북도
이퓨쳐,134060,"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재),2011-04-27,12월,황경호,,서울특별시
티케이케미칼,104480,화학섬유 제조업,"수지, 폴리에스터, 스판덱스",2011-04-26,12월,김해규,http://www.tkchemi.co.kr,대구광역시
부스타,008470,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매",2011-02-23,12월,유승협,http://www.booster.co.kr,충청북도
나노신소재,121600,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등",2011-02-09,12월,박장우,http://anapro.com,세종특별자치시
케이아이엔엑스,093320,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",인터넷연동서비스 등,2011-02-08,12월,이선영,http://www.kinx.net,서울특별시
티피씨글로벌,130740,자동차 부품 제조업,"정밀인발강관, 정밀강관, Water pipe, Filler Neck 등",2011-02-08,12월,이정훈,,경상북도
딜리,131180,컴퓨터 및 주변장치 제조업,디지털 UV 프린터,2011-01-31,12월,최근수,,경기도
엘비세미콘,061970,반도체 제조업,"골드범핑, 솔더범핑 등",2011-01-31,12월,박노만,http://www.lbsemicon.com,경기도
제이엔케이히터,126880,일반 목적용 기계 제조업,산업용가열로,2011-01-31,12월,김방희,http://www.jnkheaters.co.kr,서울특별시
블루콤,033560,영상 및 음향기기 제조업,"마이크로스피커, 블루투스헤드셋, Linear 진동모터",2011-01-26,12월,김종규,http://www.bluec.co.kr,인천광역시
인트론바이오,048530,기초 의약물질 및 생물학적 제제 제조업,"바이오신약, 핵산검사제, 동물용 항생제 대체재",2011-01-26,12월,"윤성준, 윤경원(각자대표)",,경기도
다나와,119860,소프트웨어 개발 및 공급업,"인터넷쇼핑몰 가격비교서비스, 온라인광고",2011-01-24,12월,"손윤환, 안징현",http://www.danawa.com,서울특별시
씨그널엔터테인먼트그룹,099830,"영화, 비디오물, 방송프로그램 제작 및 배급업","멀티미디어/방송 솔루션, 통신망구축, 무선통신 솔루션",2011-01-24,12월,김정상,,서울특별시
알서포트,131370,소프트웨어 개발 및 공급업,"원격지원,제어 솔루션",2011-01-05,12월,서형수,http://www.rsupport.com,서울특별시
인텍플러스,064290,특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",2011-01-05,12월,이상윤,http://www.intekplus.com,대전광역시
티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment",2011-01-05,12월,"권상준, 김철호",http://www.tse21.com,충청남도
액트,131400,전자부품 제조업,연성회로기판,2010-12-27,12월,"김성범,김상일(각자대표이사)",,대구광역시
대정화금,120240,기초화학물질 제조업,"시약, 원료의약품",2010-12-20,12월,송영준,http://www.daejung.kr,경기도
피제이메탈,128660,1차 비철금속 제조업,"탈산제, 조재제",2010-12-13,12월,홍득식,,서울특별시
디에이치피코리아,131030,의약품 제조업,티어린프리점안액,2010-12-03,12월,여대훈,http://www.dhpkorea.co.kr,충청북도
제이스테판,096690,컴퓨터 및 주변장치 제조업,"POS프린터, Mobile프린터, Label프린터",2010-12-01,12월,이준민,http://miniprinter.com,경기도
티비씨,033830,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",2010-11-29,12월,"최진민, 김정길",http://www.tbc.co.kr,대구광역시
시그네틱스,033170,반도체 제조업,반도체 패키징,2010-11-26,12월,백동원,http://www.signetics.com,경기도
썬텍,122800,금속 주조업,열간 압연롤,2010-11-26,12월,최규선,http://www.suntechinc.net,서울특별시
한국전자인증,041460,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공",2010-11-19,12월,신홍식,http://www.crosscert.com,서울특별시
디케이락,105740,일반 목적용 기계 제조업,"DK-Lok 피팅, D-Pro 밸브",2010-11-12,12월,노은식,http://dklok.com,경상남도
코프라,126600,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,한상용,http://www.kopla.com,경기도
선데이토즈,123420,소프트웨어 개발 및 공급업,"애니팡, 애니팡 사천성, 아쿠아스토리 등",2010-11-10,12월,이정웅,http://corp.sundaytoz.com,경기도
삼본정밀전자,111870,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드",2010-11-05,12월,"장준택, 김동윤",http://www.esambon.com,경기도
아나패스,123860,반도체 제조업,Timing Controller(TCON),2010-11-05,12월,이경호,,서울특별시
KNN,058400,텔레비전 방송업,방송프로그램 제작 및 송출,2010-11-03,12월,"강병중, 이성림 (각자대표이사)",http://www.knn.co.kr,부산광역시
누리플랜,069140,"구조용 금속제품, 탱크 및 증기발생기 제조업","경관조명, 경관시설",2010-10-26,12월,이규홍,http://www.nuriplan.com,경기도
아이텍반도체,119830,"그외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트,2010-10-26,12월,유남영,http://www.iteksemi.com,경기도
인화정공,101930,선박 및 보트 건조업,선박엔진부품,2010-10-22,12월,이인,http://ihpre.co.kr,경상남도
코렌,078650,"안경, 사진장비 및 기타 광학기기 제조업",카메라폰용 렌즈,2010-10-22,12월,이종진,http://www.kolen.com,경기도
아이씨케이,068940,전자부품 제조업,신용카드 및 전자화폐 등,2010-10-19,12월,김남주,http://www.cardnsoft.com,대구광역시
CJ E&M,130960,텔레비전 방송업,방송게임영화음악,2010-10-15,12월,김성수,http://www.cjenm.com,서울특별시
한일진공,123840,특수 목적용 기계 제조업,진공장비,2010-10-05,12월,"이희신,이청균",http://www.vacuum-coater.com,인천광역시
알파홀딩스,117670,반도체 제조업,시스템 반도체 개발,2010-09-17,12월,"김동기, 구희도 각자대표",http://www.alphachips.com,경기도
포메탈,119500,기타 금속가공제품 제조업,"자동차,풍력,방위산업,산업기계,농기계등의 단조부품",2010-09-17,12월,오세원,http://www.formetal.co.kr,충청남도
다원시스,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","핵융합 전원장치, 플라즈마 전원장치, 태양광 CVD 전원장치, 산업용 특수정류기",2010-09-14,12월,박선순,http://www.dawonsys.com,경기도
씨젠,096530,의료용품 및 기타 의약관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",2010-09-10,12월,천종윤,http://seegene.co.kr,서울특별시
와이솔,122990,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer",2010-09-10,12월,김지호,http://www.wisol.co.kr,경기도
하이비젼시스템,126700,"안경, 사진장비 및 기타 광학기기 제조업",카메라모듈 제조검사용 장비,2010-09-10,12월,최 두 원,http://www.hyvision.co.kr,경기도
화신정공,126640,자동차 부품 제조업,자동차부품,2010-08-31,12월,정 서 진,http://hsp.hwashin.co.kr,경상북도
코리아에프티,123410,자동차 부품 제조업,"캐니스터,플라스틱필러넥,의장부품",2010-08-27,12월,오원석,http://www.kftec.com,경기도
엠에스오토텍,123040,자동차 부품 제조업,자동차 차체 부품,2010-08-06,12월,"이태규, 박종태",http://ms-global.com,경상북도
이글루시큐리티,067920,소프트웨어 개발 및 공급업,"통합보안관리솔루션, 보안관제서비스",2010-08-04,12월,이득춘,http://www.igloosec.co.kr,서울특별시
인터로조,119610,"안경, 사진장비 및 기타 광학기기 제조업","콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)",2010-07-28,12월,노시철,http://interojo.com,경기도
하이텍팜,106190,기초 의약물질 및 생물학적 제제 제조업,주사제용 무균 원료의약품(Sterile Imipenem 외),2010-07-28,12월,김정수,http://www.htpharm.com,충청북도
웨이포트,900130,"회사본부, 지주회사 및 경영컨설팅 서비스업","제초기류,톱류,전동공구류,원림청소기류",2010-07-23,12월,진용,http://www.yattool.co.kr,홍콩
크루셜텍,114120,전자부품 제조업,"옵티컬트랙패드, LED플래시모듈, PL Lens",2010-07-21,12월,"안건준, 김종빈",http://crucialtec.com,경기도
에스디시스템,121890,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기",2010-07-16,12월,박봉용,http://www.sdsystem.co.kr,경기도
알톤스포츠,123750,그외 기타 운송장비 제조업,"운송장비,부품,자전거외",2010-07-02,12월,김신성,http://www.altonsports.co.kr,경기도
유비벨록스,089850,소프트웨어 개발 및 공급업,"모바일플랫폼 및 모바일솔루션, 스마트카드 등",2010-06-18,12월,이흥복,http://www.veloxsoft.com,서울특별시
처음앤씨,111820,기타 정보 서비스업,"B2B 전자결제, B2B 공동구매",2010-06-18,12월,"금상연, 장준영(각자 대표이사)",http://www.mp1.co.kr,서울특별시
오르비텍,046120,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등",2010-06-15,12월,김희원,http://orbitech.co.kr,서울특별시
솔라시아,070300,소프트웨어 개발 및 공급업,"USIM카드, 금융카드",2010-06-09,12월,박상진,http://www.sola-cia.com,서울특별시
실리콘웍스,108320,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",2010-06-08,12월,-,http://www.siliconworks.co.kr,대전광역시
투비소프트,079970,소프트웨어 개발 및 공급업,"MiPlatform, X Platform",2010-06-01,12월,"이홍구, 조상원(각자 대표이사)",http://www.tobesoft.com,서울특별시
인피니트헬스케어,071200,소프트웨어 개발 및 공급업,의료영상저장전송시스템(PACS),2010-05-26,12월,"홍기태,김동욱",http://infinitt.com,서울특별시
모바일리더,100030,소프트웨어 개발 및 공급업,"Sync 솔루션, 멀티미디어 솔루션",2010-05-25,12월,정 정 기,http://mobileleader.com,서울특별시
서진오토모티브,122690,자동차 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",2010-05-25,12월,"서영종, 이희석 (각자대표)",http://www.secoautomotive.com,경기도
이스트아시아홀딩스,900110,"회사본부, 지주회사 및 경영컨설팅 서비스업","스포츠화, 스포츠의류",2010-04-23,12월,"정강위, 정소영",http://www.qiuzhi.com,홍콩
뉴프라이드,900100,자동차 부품 및 내장품 판매업,인터모달 신생 및 재생타이어,2010-04-21,12월,Seokpil Hong(홍석필),http://www.npcims.com,미국
케이씨에스,115500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,2010-04-14,12월,이규현,,경상북도
씨케이에이치,900120,"회사본부, 지주회사 및 경영컨설팅 서비스업",건강보조식품,2010-03-31,06월,린진성,,케이맨 제도
지트리비앤티,115450,전자부품 제조업,"임베디드 GUI 미들웨어 FXUI-2D, FXUI-3D",2010-03-26,12월,양원석,,경기도
삼기오토모티브,122350,자동차 부품 제조업,자동차부품,2010-03-19,12월,"김남곤, 김치환",http://www.samkee.com,경기도
이미지스,115610,반도체 제조업,"터치스크린칩, 햅틱칩",2010-02-26,12월,김정철,http://imagis.co.kr,경기도
인포바인,115310,전기통신업,"휴대폰인증서보관서비스(UBIKey), 유선전화결제서비스(Vinepay)",2010-02-09,12월,권 성 준,http://www.infovine.co.kr,서울특별시
하이소닉,106080,전자부품 제조업,휴대폰 카메라용 Auto Focus Actuator,2010-02-09,12월,류재욱,http://www.hysonic.com,경기도
차이나하오란,900090,"회사본부, 지주회사 및 경영컨설팅 서비스업",코팅백판지,2010-02-05,12월,장하오롱,http://www.xinhaopaper.com,홍콩
모베이스,101330,통신 및 방송 장비 제조업,휴대전화 케이스,2010-02-04,12월,김낙순,http://www.mobase.com,인천광역시
지스마트글로벌,114570,반도체 제조업,CMOS 이미지센서,2010-02-04,12월,이기성,,경기도
스타플렉스,115570,플라스틱제품 제조업,"광고용 플렉스(조명용, 비조명용)",2010-01-27,12월,김세권,,충청북도
우리넷,115440,통신 및 방송 장비 제조업,"광전송장비(MSPP), 교환장비(AGW)",2010-01-27,12월,김광수,http://www.woori-net.com,경기도
아세아텍,050860,특수 목적용 기계 제조업,"농기계(관리기,SS기, 이앙기) 제조",2010-01-26,06월,"김웅길, 김신길",http://www.asiakor.com,대구광역시
우노앤컴퍼니,114630,화학섬유 제조업,"PVC가발사, 난연고열사",2010-01-15,12월,김종천,http://www.unon.co.kr,전라북도
코디,080530,특수 목적용 기계 제조업,"LCD 검사부품(프로브유니트), LED 검사부품(프로브카드)",2010-01-05,12월,"김근영, 이현수",http://www.kodi-s.com,경기도
글로벌에스엠,900070,"회사본부, 지주회사 및 경영컨설팅 서비스업","자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",2009-12-23,12월,나윤복,http://www.globalsmtech.com,케이맨 제도
ITX엠투엠,099520,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,박상열,http://www.itxsecurity.com,서울특별시
KPX생명과학,114450,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,2009-12-22,12월,"양준영,최수동 (각자 대표이사)",http://www.kpxls.com/,전라남도
동양피엔에프,104460,일반 목적용 기계 제조업,뉴메틱 컨베잉 시스템(분체이송시스템),2009-12-22,12월,배효점,http://www.dypnf.com,서울특별시
멜파스,096640,전자부품 제조업,"터치센서 칩, 터치스크린 모듈, 터치키 모듈 제조",2009-12-18,12월,민동진,http://www.melfas.com,경기도
위메이드,112040,소프트웨어 개발 및 공급업,미르의전설2,2009-12-18,12월,장현국,http://corp.wemade.com,경기도
셀바스AI,108860,소프트웨어 개발 및 공급업,"필기 인식, 전자 사전, 모바일 OCR 소프트웨어 등",2009-12-10,12월,"곽민철, 김경남(각자대표)",http://www.diotek.co.kr,서울특별시
에스앤씨엔진그룹,900080,"회사본부, 지주회사 및 경영컨설팅 서비스업","오토바이, 제초기, 자동차기어",2009-12-04,12월,천진산,HK,홍콩
이원컴포텍,088290,자동차 부품 제조업,에어서스펜션 시트/일반고정형 시트/스프링서스펜션 시트,2009-12-01,12월,류일주,http://ewonseat.com,충청남도
웰크론강원,114190,"구조용 금속제품, 탱크 및 증기발생기 제조업",플랜트설비(산업용 보일러),2009-11-20,12월,"이영규, 손기태(각자 대표이사)",http://kwb21.com,경기도
휴맥스,115160,영상 및 음향기기 제조업,셋톱박스,2009-11-16,12월,김태훈,,경기도
로코조이,109960,통신 및 방송 장비 제조업,"차량용블루투스핸즈프리스피커폰, 가로동/보안등 어시스템, 모바일게임 블리싱",2009-11-13,12월,Shanhu Xing,http://company.locojoy.co.kr,서울특별시
동방선기,099410,선박 및 보트 건조업,선박용 배관 등,2009-11-10,12월,김성호,http://www.dongbangsm.co.kr,경상남도
디엠씨,101000,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대",2009-11-06,12월,김영채,http://www.dongnam-crane.co.kr,경상남도
진매트릭스,109820,자연과학 및 공학 연구개발업,"B형간염치료제 내성진단,C형간염바이러스 유전형진단, 자궁경부암유발바이러스 유전형진단",2009-11-06,12월,김수옥,http://www.genematrix.net,경기도
비츠로셀,082920,일차전지 및 축전지 제조업,리튬1차전지,2009-10-28,06월,"장승국(각자대표이사), 장순상(각자대표이사)",http://www.vitzrocell.com,충청남도
스틸플라워,087220,1차 철강 제조업,후육강관,2009-10-27,12월,김병권,http://www.steelflower.co.kr,부산광역시
한스바이오메드,042520,의료용품 및 기타 의약관련제품 제조업,"인체이식용조직(인조피부,인조뼈),의료용시술재료(가슴보형물)",2009-10-09,09월,황호찬,http://hansbiomed.com,서울특별시
벅스,104200,기타 정보 서비스업,"디지털음원유통, 온라인음악서비스",2009-10-06,12월,양주일,http://www.bugs.co.kr,경기도
아이앤씨,052860,반도체 제조업,지상파 DMB용 수신칩(모바일 TV용 SoC),2009-10-06,12월,박창일,http://www.inctech.co.kr,경기도
케이엔더블유,105330,플라스틱제품 제조업,"Blanket, DOF, 보호필름",2009-09-29,12월,오원석,http://www.knwkorea.com,경기도
디에스케이,109740,특수 목적용 기계 제조업,"FPD용 PCB Bonding System, In-line System, Linear Motion System 등",2009-09-23,12월,"김태구,박광철",,경기도
제넥신,095700,자연과학 및 공학 연구개발업,항체융합단백질 치료제 및 유전자치료 백신개발,2009-09-15,12월,"경한수, 서유석 (각자)",http://genexine.com,경기도
톱텍,108230,특수 목적용 기계 제조업,평판디스플레이 제조용 자동화설비,2009-09-15,12월,이재환,http://toptec.co.kr,경상북도
동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",Wind-Tower,2009-08-31,12월,양승주,http://www.dongkuksnc.co.kr,경상북도
에스앤더블류,103230,일반 목적용 기계 제조업,"디젤엔진부품, 산업부품, 단조품",2009-08-05,12월,정화섭,http://www.snwcorp.com,부산광역시
게임빌,063080,소프트웨어 개발 및 공급업,모바일게임,2009-07-30,12월,송병준,http://www.gamevil.com,서울특별시
동일금속,109860,금속 주조업,"크롤러크레인용 트랙슈 어셈블리, 굴삭기용 아이들러 트랙슈 스프링 등",2009-07-28,12월,오길봉,http://www.dongilmetal.co.kr,경상북도
어보브반도체,102120,반도체 제조업,"반도체,전자제품,마이크로컨트롤라",2009-06-05,12월,최원,http://abov.co.kr,충청북도
조이맥스,101730,소프트웨어 개발 및 공급업,"실크로드 온라인, 로스트사가",2009-06-03,12월,이길형,http://www.joymax.co.kr,경기도
차이나그레이트,900040,"회사본부, 지주회사 및 경영컨설팅 서비스업",스포츠화 및 의류,2009-05-29,12월,우여우즈 (Wu youzhi),http://www.chinagreatstar.com,케이맨 제도
이엔에프테크놀로지,102710,기타 화학제품 제조업,LCD/반도체용 케미칼,2009-05-28,12월,"지용석, 정진배",http://www.enftech.com/,경기도
스맥,099440,특수 목적용 기계 제조업,공작기계 및 산업용로봇제조,2009-05-26,12월,"원종범, 최영섭(각자대표이사)",http://www.esmec.com,경상남도
해덕파워웨이,102210,선박 및 보트 건조업,선박방향타,2009-05-21,12월,구재고,http://www.haedukpw.com,부산광역시
SDN,099220,기계장비 및 관련 물품 도매업,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계",2009-05-19,12월,최기혁,http://www.sdn-i.com,경기도
한국정밀기계,101680,특수 목적용 기계 제조업,"금속절삭가공기계(수치제어식 수평보링머신,오면가공기,수직선반,플로우보링머신),산업기계(전용기,공작기계부품) 제조,판매",2009-05-19,12월,하종식,http://www.hnkkorea.com,경상남도
흥국,010240,특수 목적용 기계 제조업,굴삭기 Roller 및 형단조품,2009-05-12,12월,류명준,http://www.heungkuk.co.kr,충청남도
한솔신텍,099660,"구조용 금속제품, 탱크 및 증기발생기 제조업",산업용 보일러,2009-04-30,12월,최두회,http://www.seentec.com,경상남도
우림기계,101170,일반 목적용 기계 제조업,"트랜스미션,감속기,기어전동축 제조",2009-04-28,12월,한규석,http://www.woorimgear.co.kr,경상남도
티플랙스,081150,기타 금속가공제품 제조업,"스텐레스봉,판(열간제품) 제조,도매",2009-04-23,12월,김영국,http://www.tplex.co.kr,경기도
세한엔에스브이,095300,일반 목적용 기계 제조업,밸브,2009-04-17,12월,진채현,http://www.nsvcorporation.com,부산광역시
에스티오,098660,봉제의복 제조업,"셔츠,자켓/바지, 타이",2009-04-17,12월,김흥수,http://www.thesto.kr,서울특별시
에이테크솔루션,071670,특수 목적용 기계 제조업,"대형정밀금형(가전,자동차용 등)",2009-04-17,12월,유영목,http://www.atechsolution.co.kr,경기도
에스앤에스텍,101490,전자부품 제조업,블랭크마스크,2009-04-14,12월,남기수,,대구광역시
뷰웍스,100120,의료용 기기 제조업,X-Ray Detector,2009-04-10,12월,김후식,http://www.vieworks.com,경기도
코오롱생명과학,102940,기초 의약물질 및 생물학적 제제 제조업,"항균제, 수처리제, 원료의약 등",2009-04-07,12월,이우석,,경기도
네오피델리티,101400,반도체 제조업,디지털오디오앰프칩,2009-03-31,12월,김성우,http://www.neofidelity.com,경기도
파인테크닉스,106240,통신 및 방송 장비 제조업,"휴대폰부품, 소형LCD부품, LED조명기기",2009-03-16,12월,최정혁,http://www.finetechnix.com,경기도
이수앱지스,086890,의료용품 및 기타 의약관련제품 제조업,"항체치료제,효소치료제",2009-02-03,12월,김 묵,http://www.abxis.com,경기도
대성파인텍,104040,자동차 부품 제조업,"자동차부품(시트,도어) 제조",2009-01-23,12월,박종진,http://www.dsfinetec.com,경상남도
유비쿼스,078070,통신 및 방송 장비 제조업,"소프트웨어 개발,정보처리유선,무선통신기기,부품,컴퓨터 도소매,제조",2009-01-23,12월,이상근,http://www.ubiquoss.com,경기도
메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발",2009-01-16,12월,정현호,http://www.medytox.com,충청북도
엠게임,058630,소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)",2008-12-19,12월,권이형,http://www.mgamecorp.com,서울특별시
아이컴포넌트,059100,전자부품 제조업,액정평판디스플레이용 플라스틱 박판필름 제조업,2008-12-16,12월,김양국,,경기도
에이치엘비생명과학,067630,"건축기술, 엔지니어링 및 관련기술 서비스업","ESCO 사업, 신재생에너지 사업",2008-11-25,12월,김하용,http://www.enersol.co.kr,서울특별시
이크레더블,092130,기타 정보 서비스업,"전자신용인증서비스(정보),소프트웨어 개발",2008-10-24,12월,이진옥,http://www.ecredible.co.kr,서울특별시
SIMPAC METALLOY,090730,1차 철강 제조업,합금철,2008-10-17,12월,"최진식, 송효석",http://www.simpacanc.com,경상북도
세운메디칼,100700,의료용품 및 기타 의약관련제품 제조업,"의료용구(체액배출기,도뇨관) 제조,도매,수출입",2008-09-30,12월,이길환,http://SEWOONMEDICAL.CO.KR,충청남도
마이크로컨텍솔,098120,전자부품 제조업,"BGA IC Burn-In Socket,DRAM Module Socket",2008-09-23,12월,양승은,http://www.mcsgroup.co.kr,충청남도
KJ프리텍,083470,플라스틱제품 제조업,"소형 BLU, 정밀 플라스틱 제품",2008-09-18,12월,박재홍,http://www.kjpretech.com,경기도
삼강엠앤티,100090,1차 철강 제조업,"후육강관제조업,조선블록제조업",2008-08-01,12월,송무석,http://www.sam-kang.com/,경상남도
아이엠,101390,전자부품 제조업,DVD용광픽업등,2008-07-23,12월,손을재,,경기도
웰크론한텍,076080,특수 목적용 기계 제조업,"에너지절감설비,자동화배합설비,환경설비",2008-07-18,12월,이영규,http://www.welcronhantec.co.kr,경기도
코리아에스이,101670,"구조용 금속제품, 탱크 및 증기발생기 제조업","영구앵커,교량용케이블,타이케이블",2008-07-15,12월,남홍기,,경기도
슈프리마에이치큐,094840,통신 및 방송 장비 제조업,지문인식솔루션및시스템,2008-07-11,12월,이재원,,경기도
서울옥션,063170,상품 중개업,미술품경매,2008-07-01,12월,이옥경,,서울특별시
이스트소프트,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",2008-07-01,12월,정상원,,서울특별시
청담러닝,096240,일반 교습 학원,청담어학원,2008-06-27,12월,김영화,http://www.chungdahm.com,서울특별시
월덱스,101160,전자부품 제조업,반도체용링및전극,2008-06-19,12월,배종식,,경상북도
쎄트렉아이,099320,"항공기,우주선 및 부품 제조업","소형인공위성,지상시스템",2008-06-13,12월,"박성동, 김병진(각자 대표이사)",,대전광역시
브리지텍,064480,소프트웨어 개발 및 공급업,"컨택센터솔루션,BcN솔루션,ASP서비스사업",2008-06-04,12월,이상호,http://www.bridgetec.co.kr,서울특별시
고영,098460,특수 목적용 기계 제조업,전자제품및반도체생산용 3차원 납도포검사장비,2008-06-03,12월,고광일,http://www.kohyoung.com,서울특별시
조이시티,067000,소프트웨어 개발 및 공급업,온라인게임(프리스타일농구),2008-05-30,12월,조성원,http://www.joycity.com,경기도
우진비앤지,018620,의약품 제조업,"슈퍼티아,안티펜SM",2008-05-20,12월,"강석진, 강재구(각자 대표이사)",http://www.woogenebng.com,경기도
테스,095610,특수 목적용 기계 제조업,반도체장비(화학증착장비),2008-05-20,12월,"주숭일, 이재호 (각자 대표이사)",,경기도
예스24,053280,무점포 소매업,"도서,음반/DVD,화장품",2008-05-07,12월,김기호,,서울특별시
엘디티,096870,반도체 제조업,"OLED구동IC,LED구동IC,LCD구동IC",2008-05-02,12월,정재천,,충청남도
